Xiawei_ID,Domain,Name,Data
5,QingGan,ID_5_Number_1,主题：失恋
5,QingGan,ID_5_Number_2,主题：明知暗恋的人不喜欢我
5,QingGan,ID_5_Number_3,主题：不被理解：相爱的人无法互相理解
5,QingGan,ID_5_Number_4,主题：爱情背叛：爱情破碎
5,QingGan,ID_5_Number_5,主题：心灵的孤岛
5,QingGan,ID_5_Number_6,主题：爱的背离：爱情中的信任和承诺被抛弃。
5,QingGan,ID_5_Number_7,主题：忠贞的裂痕：原本坚固的忠诚出现了不可修复的裂痕。
5,QingGan,ID_5_Number_8,主题：情感的出轨：在情感的轨道上偏离，走向了不该去的方向。
5,QingGan,ID_5_Number_9,主题：誓言的破碎：曾经许下的誓言如同玻璃般碎裂。
5,QingGan,ID_5_Number_10,主题：灵魂的背叛：灵魂深处的背叛，是对精神和情感的双重背叛。
5,QingGan,ID_5_Number_11,主题：情感的叛变：情感上的叛变，是对爱情最深刻的伤害。
5,QingGan,ID_5_Number_12,主题：爱的背叛者
5,QingGan,ID_5_Number_13,主题：心的离散：描述两颗心不再相连，彼此分离的状态。
5,QingGan,ID_5_Number_14,主题：爱的终结：标志着一段爱情故事的结束，爱情之火熄灭。
5,QingGan,ID_5_Number_15,主题：情感的断章：将失恋比作一本书中未完成的章节，戛然而止。
5,QingGan,ID_5_Number_16,主题：灵魂的流离：失恋后，灵魂仿佛失去了归宿，四处漂泊。
5,QingGan,ID_5_Number_17,主题：梦的破碎：将失恋比作一个美好的梦突然破碎，现实残酷地介入。
5,QingGan,ID_5_Number_18,主题：缘分的尽头：相信缘分的人可能会将失恋看作是缘分走到了尽头。
5,QingGan,ID_5_Number_19,主题：情感的寒冬：失恋后的心情如同寒冬，冰冷而凄凉。
5,QingGan,ID_5_Number_20,主题：爱的消逝：描述爱情如同逐渐消逝的光影，最终消失不见。
5,QingGan,ID_5_Number_21,主题：心的空洞：失恋后心中留下的空缺，无法被填补。
5,QingGan,ID_5_Number_22,主题：情感的废墟：失恋后的情感世界如同废墟，一片狼藉。
5,QingGan,ID_5_Number_23,主题：情感的分岔：比喻两个人在情感的道路上走到了分岔口，选择了不同的方向。
5,QingGan,ID_5_Number_24,主题：心的解绑
5,QingGan,ID_5_Number_25,主题：缘分的断线：比喻缘分如同一根线，现在这根线已经断裂。
5,QingGan,ID_5_Number_26,主题：生活的转折分手：分手作为人生旅程中的一个重大转折点。
5,QingGan,ID_5_Number_27,主题：情感的落幕：将分手比作一场戏剧的结束，情感的帷幕缓缓落下。
5,QingGan,ID_5_Number_28,主题：爱情的离歌：用“离歌”来象征爱情故事的结束，带着一丝哀愁。
5,QingGan,ID_5_Number_29,主题：心的漂泊：分手后，心如同漂泊的船只，寻找新的港湾。
5,QingGan,ID_5_Number_30,主题：情感的重置：将分手看作是情感状态的一次重置，重新开始。
